get_lKn,get_RHSt,get_Kt,get_Zt,get_Ct,get_marg_ut,get_Ht,get_Yt,get_Rt
2.8726375,0.39605913,17.570368,1.0460362,1.5918846,0.39461794,0.6122457,2.144373,0.04393615
2.8786068,0.39608705,17.683598,1.0422242,1.5915312,0.39479324,0.6113487,2.1394963,0.043555547
2.882991,0.39610112,17.78947,1.0334482,1.590894,0.39510953,0.6058549,2.1137974,0.042776264
2.887909,0.39613116,17.867636,1.0346249,1.5908741,0.39511943,0.60858387,2.125652,0.042827982
2.89427,0.3961745,17.955729,1.0397561,1.5910755,0.39501938,0.61506754,2.154543,0.043197103
2.8952434,0.3961651,18.070305,1.0135047,1.5893883,0.39585853,0.5940978,2.0587444,0.041014694
2.9007843,0.39620608,18.087904,1.0340441,1.5905904,0.3952604,0.61279464,2.1432874,0.04265743
2.9055011,0.3962297,18.188404,1.0287813,1.5901667,0.39547104,0.6102133,2.1308722,0.042175997
2.9074316,0.39623806,18.274399,1.01472,1.5892328,0.39593598,0.59941685,2.0814035,0.041003007
2.9048915,0.39623982,18.309711,0.9934169,1.5879028,0.39659953,0.581179,1.9991956,0.03930758
2.9042845,0.39622504,18.263262,1.0031651,1.5885483,0.39627725,0.5888876,2.034049,0.040094573
2.9012945,0.39621934,18.252178,0.9922311,1.5878942,0.3966038,0.578976,1.9897059,0.039244313
2.8970778,0.39620125,18.197687,0.98736036,1.5876558,0.39672294,0.57359403,1.9660225,0.0388933
2.8928463,0.39617318,18.121115,0.98854434,1.5878142,0.39664376,0.57310605,1.964324,0.039023906
2.8869157,0.3961487,18.044598,0.98183477,1.5874863,0.39680767,0.5657125,1.9319004,0.038542513
2.8790784,0.39611584,17.937899,0.9746557,1.5871606,0.3969705,0.55736923,1.895573,0.038042713
2.8693695,0.39607164,17.797863,0.9682384,1.5869184,0.39709172,0.5490961,1.8599005,0.03762048
2.86134,0.39599594,17.625902,0.9791906,1.5877991,0.39665133,0.5551088,1.8874859,0.03855093
2.8540792,0.39594042,17.484941,0.9852785,1.588339,0.3963817,0.55750483,1.8989663,0.039098095
